layer,head,num_samples,fraction
8,7,61,0.953125
9,30,56,0.875
10,4,53,0.828125
14,27,53,0.828125
12,15,50,0.78125
13,25,50,0.78125
20,27,49,0.765625
9,16,49,0.765625
10,10,46,0.71875
8,21,46,0.71875
9,22,45,0.703125
10,9,45,0.703125
12,7,44,0.6875
28,8,44,0.6875
9,21,44,0.6875
12,8,44,0.6875
11,11,43,0.671875
12,5,42,0.65625
20,22,42,0.65625
12,11,42,0.65625
11,20,40,0.625
13,28,40,0.625
14,19,40,0.625
8,16,40,0.625
16,2,40,0.625
9,17,40,0.625
14,24,39,0.609375
3,22,39,0.609375
3,20,39,0.609375
15,27,39,0.609375
9,24,38,0.59375
1,28,38,0.59375
17,22,37,0.578125
11,24,37,0.578125
12,27,36,0.5625
12,26,36,0.5625
14,21,36,0.5625
11,27,36,0.5625
27,31,35,0.546875
16,3,34,0.53125
5,19,34,0.53125
15,10,34,0.53125
16,16,34,0.53125
10,15,34,0.53125
18,30,34,0.53125
12,6,32,0.5
12,1,32,0.5
11,0,32,0.5
15,16,31,0.484375
13,7,31,0.484375
9,18,31,0.484375
22,30,30,0.46875
12,4,30,0.46875
12,20,30,0.46875
9,29,30,0.46875
14,25,30,0.46875
8,5,30,0.46875
14,4,30,0.46875
3,7,30,0.46875
8,28,28,0.4375
4,8,28,0.4375
28,19,28,0.4375
28,29,28,0.4375
17,12,28,0.4375
12,3,27,0.421875
22,3,27,0.421875
2,24,27,0.421875
11,3,27,0.421875
9,5,27,0.421875
18,10,27,0.421875
14,7,27,0.421875
3,17,26,0.40625
13,24,26,0.40625
10,8,26,0.40625
9,15,26,0.40625
7,16,26,0.40625
11,25,25,0.390625
12,30,25,0.390625
18,29,25,0.390625
7,31,24,0.375
7,18,24,0.375
23,15,24,0.375
30,19,24,0.375
22,2,24,0.375
4,23,24,0.375
13,22,23,0.359375
19,30,23,0.359375
11,17,23,0.359375
9,0,23,0.359375
10,24,23,0.359375
3,6,23,0.359375
2,1,23,0.359375
30,7,23,0.359375
12,17,23,0.359375
12,31,23,0.359375
4,22,23,0.359375
9,23,23,0.359375
16,17,22,0.34375
9,26,22,0.34375
29,22,22,0.34375
2,19,22,0.34375
20,15,22,0.34375
2,26,22,0.34375
30,28,22,0.34375
28,22,21,0.328125
9,7,21,0.328125
13,15,21,0.328125
11,9,21,0.328125
11,21,21,0.328125
4,11,21,0.328125
11,8,21,0.328125
10,22,20,0.3125
19,2,20,0.3125
15,20,20,0.3125
29,3,20,0.3125
29,12,20,0.3125
12,9,20,0.3125
6,20,20,0.3125
