layer,mean_abs_r,std_abs_r,frac_significant
0,0.1055985801395033,0.08568961582632781,0.373046875
1,0.2712916668814762,0.12454472051850407,0.87890625
2,0.2913485249205886,0.14889215759101154,0.853515625
3,0.3312218640124244,0.15053966878095776,0.89990234375
4,0.3001016285646339,0.1618636055584603,0.84423828125
5,0.2743171366472608,0.14780196507458465,0.81982421875
6,0.2680547323591344,0.14198178560132305,0.84130859375
7,0.30045317029689816,0.1505164209619845,0.87939453125
8,0.3090355253023999,0.173492510815845,0.85009765625
9,0.36792673694880895,0.18696823439504442,0.86328125
10,0.2940758266523124,0.1812753400285867,0.79296875
11,0.3399791929469877,0.17014387374650247,0.87939453125
12,0.440278156704643,0.13551394813930362,0.98681640625
13,0.29479967745870606,0.1719679733647272,0.8203125
14,0.3032652194666957,0.18648164403158976,0.7978515625
15,0.3106549690346259,0.1615289198382689,0.84912109375
16,0.2763107104597601,0.15828340522628467,0.81787109375
17,0.2768684030812553,0.15049144015937993,0.82568359375
18,0.28363333217789216,0.1620491430682682,0.814453125
19,0.28350899745068947,0.1567749377238237,0.8193359375
20,0.278741189650968,0.16541971311196366,0.7978515625
21,0.26631014193282776,0.14395835101780224,0.822265625
22,0.29513907548088314,0.1515177767032507,0.84814453125
23,0.28392296134443984,0.14848723729005453,0.84326171875
24,0.25473398322285656,0.14205292070753814,0.796875
25,0.2159534084459069,0.13368672598334952,0.7294921875
26,0.25674392578959726,0.1505714493905082,0.77734375
27,0.23446363761689049,0.14530136510251127,0.75537109375
28,0.3155355333041857,0.14993584477423164,0.888671875
29,0.281949031129036,0.15514357848239183,0.83740234375
30,0.27506988760113626,0.14987875415073396,0.82666015625
31,0.21704795506156868,0.1362877950794041,0.7353515625
